calculated_range,x,y,z,intensity,t,reflectivity,ring,ambient,range,timestamp
25.089949,25.07872,0.31880385,0.6794893,343.0,50763020,506,29,19689,25089,1782507044.9561403
25.086946,25.077202,0.16489802,0.67941236,375.0,50860870,521,29,39694,25086,1782507044.9561403
25.117949,25.108734,0.011037447,0.6802076,385.0,50958860,527,29,46550,25117,1782507044.9561403
25.051949,25.042353,-0.14265065,0.6785145,171.0,51056290,638,29,42068,25051,1782507044.9561403
25.08861,25.082886,0.30117717,0.44318214,409.0,50763020,684,30,60860,25088,1782507044.9561403
25.090609,25.086262,0.14727756,0.4432146,407.0,50860870,652,30,59822,25090,1782507044.9561403
25.11061,25.106691,-0.0066567445,0.4435392,421.0,50958860,702,30,3885,25110,1782507044.9561403
25.01361,25.009193,-0.16008842,0.44196483,95.0,51056290,607,30,59894,25013,1782507044.9561403
25.113949,25.10271,0.3191086,0.680105,344.0,50755210,523,29,20641,25113,1782507045.0548635
25.106945,25.097195,0.16502932,0.6799254,406.0,50853000,521,29,59601,25106,1782507045.0548635
25.113947,25.104734,0.011035724,0.680105,387.0,50951040,534,29,47700,25113,1782507045.0548635
25.015947,25.006365,-0.14244533,0.67759097,177.0,51048420,573,29,45241,25015,1782507045.0548635
24.806608,24.798649,0.44995946,0.43860504,7.0,50657010,484,30,4798,24806,1782507045.0548635
25.12961,25.123878,0.30166975,0.4438476,372.0,50755210,541,30,38495,25129,1782507045.0548635
25.118608,25.114258,0.14744218,0.44366905,388.0,50853000,664,30,48336,25118,1782507045.0548635
25.03161,25.027191,-0.16020346,0.442257,96.0,51048420,561,30,60234,25031,1782507045.0548635
25.09695,25.085718,0.31889275,0.6796689,335.0,50749430,519,29,14696,25096,1782507045.1506371
25.118946,25.10919,0.1651081,0.68023324,382.0,50847210,501,29,44828,25118,1782507045.1506371
25.128948,25.11973,0.011042185,0.6804898,432.0,50945200,522,29,10937,25128,1782507045.1506371
25.075949,25.066343,-0.14278752,0.67913014,171.0,51042580,576,29,41984,25075,1782507045.1506371
25.12061,25.11488,0.30156162,0.44370154,391.0,50749430,600,30,50624,25120,1782507045.1506371
25.11561,25.11126,0.14742453,0.44362038,440.0,50847210,622,30,15772,25115,1782507045.1506371
25.103613,25.099693,-0.0066549503,0.4434256,407.0,50945200,622,30,60247,25103,1782507045.1506371
25.00761,25.003195,-0.16005006,0.44186744,96.0,51042580,602,30,60521,25007,1782507045.1506371
25.097948,25.086718,0.31890544,0.67969453,344.0,50740420,542,29,20251,25097,1782507045.2528172
25.091948,25.082201,0.16493085,0.67954063,393.0,50838140,545,29,50980,25091,1782507045.2528172
25.085947,25.076744,0.011023663,0.6793867,398.0,50936140,547,29,53997,25085,1782507045.2528172
25.089607,25.083885,0.30118918,0.44319835,382.0,50740420,637,30,44151,25089,1782507045.2528172
25.094608,25.090261,0.14730108,0.44327953,378.0,50838140,647,30,41664,25094,1782507045.2528172
25.096611,25.092693,-0.006653156,0.443312,387.0,50936140,576,30,47134,25096,1782507045.2528172
25.070612,25.066185,-0.16045272,0.44289,104.0,51033460,596,30,352,25070,1782507045.2528172
25.10195,25.090715,0.31895623,0.6797971,349.0,50713190,555,29,23408,25101,1782507045.3504093
25.103947,25.094196,0.16500963,0.67984843,381.0,50810870,503,29,43899,25103,1782507045.3504093
25.12661,25.120878,0.30163372,0.4437989,383.0,50713190,658,30,45374,25126,1782507045.3504093
25.13161,25.127256,0.14751859,0.44388005,396.0,50810870,625,30,53866,25131,1782507045.3504093
25.130611,25.12669,-0.0066618705,0.44386384,415.0,50908760,672,30,57,25130,1782507045.3504093
25.08061,25.076183,-0.16051663,0.4430523,91.0,51006090,576,30,57242,25080,1782507045.3504093
25.092949,25.081718,0.31884196,0.67956626,346.0,50687550,527,29,21515,25092,1782507045.4504871
25.108944,25.099194,0.16504245,0.6799767,409.0,50785240,569,29,61276,25108,1782507045.4504871
25.126947,25.117731,0.011041324,0.68043846,418.0,50883070,532,29,1995,25126,1782507045.4504871
25.087948,25.07834,-0.14285596,0.679438,180.0,50980300,643,29,48015,25087,1782507045.4504871
25.121609,25.11588,0.30157363,0.44371775,391.0,50687550,587,30,50710,25121,1782507045.4504871
25.11261,25.10826,0.1474069,0.4435717,384.0,50785240,611,30,45987,25112,1782507045.4504871
25.116611,25.112692,-0.006658282,0.4436366,390.0,50883070,612,30,49854,25116,1782507045.4504871
25.016611,25.012194,-0.16010758,0.4420135,95.0,50980300,625,30,59810,25016,1782507045.4504871
25.10595,25.094713,0.31900704,0.67989975,330.0,50681050,580,29,11992,25105,1782507045.548627
25.107946,25.098194,0.16503589,0.6799511,402.0,50778620,571,29,56837,25107,1782507045.548627
25.086948,25.077744,0.011024094,0.67941236,384.0,50876520,571,29,45085,25086,1782507045.548627
