calculated_range,x,y,z,intensity,t,reflectivity,ring,ambient,range,timestamp,cloud_index
25.088947,25.067602,0.7803359,0.6794636,370.0,50414850,349,29,36900,25088,1782509284.0056872,0
25.085949,25.068922,0.62643445,0.6793867,383.0,50511860,312,29,44583,25085,1782509284.0056872,0
25.10295,25.089285,0.47292277,0.6798228,395.0,50607800,355,29,52871,25102,1782509284.0056872,0
25.08061,25.0651,0.76257676,0.4430523,407.0,50414850,404,30,59719,25080,1782509284.0056872,0
25.09161,25.080301,0.6090329,0.44323084,400.0,50511860,450,30,55275,25091,1782509284.0056872,0
25.08861,25.080566,0.4550772,0.44318214,412.0,50607800,440,30,62838,25088,1782509284.0056872,0
25.091948,25.074917,0.62658423,0.67954063,350.0,50515970,356,29,24325,25091,1782509284.1064441,1
25.100613,25.089298,0.6092515,0.4433769,431.0,50515970,429,30,9582,25100,1782509284.1064441,1
25.09661,25.088564,0.4552224,0.443312,392.0,50611860,453,30,50326,25096,1782509284.1064441,1
25.100948,25.083912,0.6268089,0.6797715,387.0,50522470,351,29,47823,25100,1782509284.208678,2
25.10161,25.090298,0.60927576,0.44339314,393.0,50522470,423,30,51223,25101,1782509284.208678,2
25.09461,25.086565,0.4551861,0.44327953,410.0,50618410,446,30,61654,25094,1782509284.208678,2
25.088947,25.071918,0.62650937,0.6794636,363.0,50523240,336,29,31921,25088,1782509284.3049693,3
25.099949,25.086287,0.47286627,0.67974585,358.0,50619230,335,29,28982,25099,1782509284.3049693,3
25.08761,25.072094,0.76278967,0.4431659,414.0,50426160,425,30,64148,25087,1782509284.3049693,3
25.107609,25.096294,0.60942143,0.44349054,428.0,50523240,448,30,7732,25107,1782509284.3049693,3
25.10961,25.10156,0.4554583,0.443523,383.0,50619230,414,30,45116,25109,1782509284.3049693,3
25.094948,25.077915,0.6266591,0.6796176,352.0,50531810,364,29,25594,25094,1782509284.4098966,4
25.097948,25.084288,0.4728286,0.67969453,354.0,50627750,346,29,26992,25097,1782509284.4098966,4
25.10561,25.094296,0.60937285,0.44345805,424.0,50531810,412,30,5360,25105,1782509284.4098966,4
25.09161,25.083565,0.45513165,0.44323084,359.0,50627750,430,30,29586,25091,1782509284.4098966,4
25.082949,25.065924,0.6263596,0.6793097,352.0,50536420,363,29,25373,25082,1782509284.5067773,5
