cloud_index,point_count
0,4
1,5
2,5
3,4
4,4
5,4
6,2
7,1
9,4
10,2
11,2
12,3
13,3
14,2
15,2
16,5
17,1
18,4
19,3
21,3
22,2
23,3
24,1
25,1
26,2
27,2
28,2
29,1
30,5
31,2
32,5
33,1
34,3
35,1
36,3
39,2
40,1
41,1
43,3
44,1
45,2
47,1
48,2
49,2
50,1
51,1
52,1
53,3
54,2
55,1
56,1
57,1
58,3
59,1
61,1
64,3
65,3
66,3
68,1
71,1
72,1
74,1
76,1
78,1
79,3
80,1
81,1
82,1
85,1
86,1
87,2
89,1
91,3
92,1
93,1
95,1
96,3
97,1
98,1
100,1
102,1
105,1
108,2
110,1
112,1
116,1
118,1
120,1
123,2
125,1
126,2
129,1
131,1
134,1
138,1
139,2
140,1
141,1
143,1
151,1
159,1
164,1
167,1
172,1
189,1
199,1
221,1
224,1
238,1
240,1
241,1
249,1
255,1
268,1
