range,x,y,z,intensity,t,reflectivity,ring,ambient,timestamp
25123,25.11788,0.30159765,0.4437502,429.0,50802800,407,30,8927,1782510861.3138745
25123,25.119257,0.14747156,0.4437502,397.0,50900110,434,30,54117,1782510861.3138745
25108,25.105747,0.28813735,0.20700063,377.0,50802800,528,31,41321,1782510861.3138745
25123,25.122044,0.13416645,0.20710273,388.0,50900110,501,31,48711,1782510861.3138745
25103,25.097883,0.3013574,0.4434256,384.0,50770770,445,30,45475,1782510861.413235
25102,25.09826,0.1473481,0.44340938,406.0,50867950,486,30,59715,1782510861.413235
25085,25.082748,0.2878728,0.20684408,400.0,50770770,512,31,55456,1782510861.413235
25082,25.081045,0.13394642,0.20682366,361.0,50867950,499,31,30930,1782510861.413235
25097,25.091885,0.3012853,0.4433282,411.0,50731330,446,30,62362,1782510861.513942
25098,25.094261,0.14732459,0.44334444,410.0,50828360,452,30,61714,1782510861.513942
25096,25.093748,0.28799933,0.20691895,392.0,50731330,457,31,50299,1782510861.513942
25110,25.109043,0.13409668,0.20701425,369.0,50828360,526,31,36330,1782510861.513942
25099,25.09526,0.14733048,0.4433607,413.0,50816170,394,30,63937,1782510861.6128063
25126,25.123745,0.2883444,0.20712315,383.0,50719010,523,31,45477,1782510861.6128063
25117,25.116043,0.13413425,0.20706189,385.0,50816170,494,31,46739,1782510861.6128063
25126,25.120878,0.30163372,0.4437989,410.0,50698940,418,30,62472,1782510861.7152646
25115,25.11126,0.14742453,0.44362038,393.0,50796060,405,30,51603,1782510861.7152646
25098,25.097044,0.13403228,0.20693256,380.0,50796060,537,31,42977,1782510861.7152646
25105,25.099882,0.3013814,0.44345805,389.0,50689010,451,30,48623,1782510861.8085284
25122,25.118258,0.14746569,0.443734,399.0,50786140,453,30,55261,1782510861.8085284
25091,25.088749,0.2879418,0.20688492,372.0,50689010,538,31,37806,1782510861.8085284
25103,25.102043,0.13405912,0.2069666,368.0,50786140,501,31,35711,1782510861.8085284
25085,25.079887,0.30114114,0.44313344,401.0,50693790,417,30,55979,1782510861.911496
25105,25.101261,0.14736575,0.44345805,394.0,50790920,410,30,51999,1782510861.911496
25093,25.090748,0.28796482,0.20689853,387.0,50693790,489,31,47546,1782510861.911496
25094,25.093044,0.13401082,0.20690534,398.0,50790920,507,31,54404,1782510861.911496
25121,25.11588,0.30157363,0.44371775,409.0,50708140,446,30,61595,1782510862.0122685
25113,25.109259,0.14741278,0.4435879,394.0,50805250,472,30,52453,1782510862.0122685
25102,25.099747,0.28806835,0.20695978,373.0,50708140,481,31,38958,1782510862.0122685
25096,25.095045,0.13402155,0.20691895,365.0,50805250,534,31,33517,1782510862.0122685
25118,25.11288,0.3015376,0.44366905,415.0,50721340,428,30,65402,1782510862.11033
25102,25.101044,0.13405375,0.20695978,375.0,50818520,522,31,39980,1782510862.11033
25119,25.11388,0.3015496,0.4436853,411.0,50748950,434,30,62876,1782510862.2097201
25130,25.126257,0.14751272,0.44386384,439.0,50846180,418,30,15344,1782510862.2097201
25106,25.103746,0.28811434,0.20698702,382.0,50748950,530,31,44433,1782510862.2097201
25119,25.118044,0.13414499,0.2070755,426.0,50846180,542,31,6839,1782510862.2097201
25091,25.085886,0.30121323,0.44323084,412.0,50760750,394,30,63152,1782510862.3113892
25118,25.117043,0.13413961,0.2070687,371.0,50857980,502,31,37877,1782510862.3113892
