cloud_index,point_count
0,42
1,41
2,41
3,37
4,40
5,41
6,39
7,42
8,40
9,35
10,36
11,38
12,39
13,42
14,39
15,35
16,37
17,38
18,38
19,35
20,37
21,36
22,32
23,35
24,36
25,33
26,37
27,31
28,33
29,33
30,33
31,31
32,30
33,29
34,33
35,31
36,27
37,30
38,26
39,33
40,30
41,28
42,33
43,34
44,32
45,30
46,27
47,32
48,33
49,34
50,26
51,26
52,27
53,21
54,30
55,25
56,26
57,30
58,29
59,28
60,28
61,26
62,28
63,24
64,36
65,36
66,26
67,33
68,31
69,24
70,27
71,18
72,17
73,25
74,28
75,23
76,24
77,15
78,20
79,25
80,24
81,16
82,31
83,22
84,15
85,24
86,22
87,20
88,29
89,24
90,23
91,23
92,10
93,19
94,12
95,24
96,25
97,19
98,25
99,29
100,19
101,18
102,21
103,19
104,20
105,20
106,20
107,19
108,16
109,10
110,16
111,25
112,18
113,23
114,19
115,21
116,21
117,20
118,20
119,30
120,17
121,26
122,30
123,23
124,25
125,12
126,19
127,29
128,18
129,20
130,25
131,11
132,21
133,17
134,10
135,15
136,16
137,18
138,18
139,19
140,24
141,19
142,15
143,16
144,13
145,17
146,22
147,18
148,22
149,17
150,16
151,19
152,18
153,13
154,15
155,10
156,9
157,11
158,15
159,23
160,17
161,22
162,15
163,10
164,17
165,14
166,8
167,18
168,14
169,14
170,19
171,14
172,27
173,9
174,17
175,12
176,12
177,16
178,21
179,13
180,31
181,16
182,16
183,21
184,20
185,20
186,24
187,17
188,18
189,14
190,11
191,23
192,17
193,15
194,13
195,13
196,14
197,15
198,17
199,18
200,19
201,18
202,15
203,18
204,11
205,18
206,22
207,18
208,18
209,24
210,13
211,13
212,19
213,15
214,24
215,16
216,12
217,10
218,15
219,24
220,9
221,23
222,21
223,19
224,14
225,18
226,14
227,25
228,9
229,17
230,19
231,13
232,16
233,22
234,13
235,16
236,19
237,16
238,23
239,19
240,17
241,16
242,14
243,16
244,23
245,25
246,14
247,17
248,15
249,28
250,16
251,10
252,10
253,16
254,22
255,22
256,14
257,18
258,15
259,7
260,16
261,13
262,14
263,15
264,16
265,15
266,11
267,16
268,8
269,17
270,14
271,13
272,19
273,12
274,5
275,16
276,10
277,19
278,13
279,11
280,14
281,13
282,10
283,13
284,13
285,13
286,6
287,8
288,5
289,20
290,13
291,11
292,21
293,14
294,7
295,9
296,8
