calculated_range,x,y,z,intensity,timestamp,cloud_index
25.036142,25.027102,-0.4668997,0.4842986,39.0,1782510557.801905,0
25.03114,25.02032,-0.5541469,0.4842017,36.0,1782510557.801905,0
25.036144,25.023233,-0.641609,0.4842986,38.0,1782510557.801905,0
25.03614,25.029814,-0.35004118,0.44067284,43.0,1782510557.801905,0
25.03614,25.028439,-0.43740937,0.44067284,37.0,1782510557.801905,0
25.036139,25.026758,-0.5247722,0.44067284,34.0,1782510557.801905,0
25.03114,25.019777,-0.61200666,0.4405847,33.0,1782510557.801905,0
25.021143,25.007496,-0.69905907,0.4404084,37.0,1782510557.801905,0
25.04111,25.035435,-0.35556224,0.39712512,77.0,1782510557.801905,0
25.03611,25.029043,-0.44286194,0.39704573,33.0,1782510557.801905,0
25.03611,25.027346,-0.5302269,0.39704573,36.0,1782510557.801905,0
25.031109,25.020344,-0.61746234,0.3969663,38.0,1782510557.801905,0
25.041046,25.035757,-0.37411946,0.3534881,34.0,1782510557.801905,0
25.021038,25.00833,-0.3780783,0.7019811,17.0,1782510557.801905,0
25.031046,25.0243,-0.46132508,0.3533467,34.0,1782510557.801905,0
25.021036,25.006857,-0.46537137,0.7019811,20.0,1782510557.801905,0
25.031044,25.022535,-0.54867333,0.3533467,34.0,1782510557.801905,0
25.016033,25.000082,-0.5525488,0.70184064,20.0,1782510557.801905,0
25.031046,25.020468,-0.63601494,0.3533467,39.0,1782510557.801905,0
25.016037,24.998003,-0.63981205,0.70184064,20.0,1782510557.801905,0
25.040955,25.036226,-0.37519485,0.30984998,35.0,1782510557.801905,0
25.035944,25.024332,-0.38375553,0.6587855,86.0,1782510557.801905,0
25.030954,25.024765,-0.46240208,0.30972606,35.0,1782510557.801905,0
25.045946,25.032837,-0.47129112,0.65904903,34.0,1782510557.801905,0
25.025953,25.018,-0.5496429,0.3096641,36.0,1782510557.801905,0
25.015942,25.001055,-0.5580044,0.65825844,36.0,1782510557.801905,0
25.025951,25.015928,-0.6369687,0.3096641,38.0,1782510557.801905,0
25.030941,25.013943,-0.64565563,0.65865374,39.0,1782510557.801905,0
25.025946,25.015942,-0.3499304,0.6149204,43.0,1782510557.801905,0
25.030945,25.019564,-0.4373383,0.6150434,27.0,1782510557.801905,0
25.035944,25.022882,-0.5247758,0.6151664,26.0,1782510557.801905,0
25.030945,25.015902,-0.6119957,0.6150434,28.0,1782510557.801905,0
25.030945,25.013613,-0.69931376,0.6150434,17.0,1782510557.801905,0
25.03104,25.021992,-0.35545242,0.5714312,43.0,1782510557.801905,0
25.036041,25.025599,-0.4428823,0.57154554,34.0,1782510557.801905,0
25.041042,25.028898,-0.5303417,0.5716598,36.0,1782510557.801905,0
25.036041,25.021896,-0.6175817,0.57154554,35.0,1782510557.801905,0
25.021038,25.004595,-0.7044966,0.5712026,38.0,1782510557.801905,0
25.031105,25.022745,-0.37400687,0.52781725,75.0,1782510557.801905,0
25.036108,25.026287,-0.4614427,0.52792287,34.0,1782510557.801905,0
25.036104,25.02452,-0.54879797,0.52792287,34.0,1782510557.801905,0
25.031105,25.017456,-0.6360192,0.52781725,38.0,1782510557.801905,0
25.03114,25.023579,-0.37945998,0.4842017,39.0,1782510557.801905,0
25.03114,25.022102,-0.4668063,0.4842017,39.0,1782510557.9019258,1
25.02614,25.013237,-0.64135253,0.48410487,38.0,1782510557.9019258,1
25.026138,25.019815,-0.34990156,0.44049656,43.0,1782510557.9019258,1
25.03114,25.023441,-0.4373221,0.4405847,37.0,1782510557.9019258,1
25.031137,25.02176,-0.52466756,0.4405847,34.0,1782510557.9019258,1
25.03114,25.01749,-0.6993382,0.4405847,36.0,1782510557.9019258,1
25.02611,25.02044,-0.35535023,0.39688691,77.0,1782510557.9019258,1
25.031107,25.024042,-0.4427738,0.3969663,34.0,1782510557.9019258,1
25.031107,25.022345,-0.53012127,0.3969663,36.0,1782510557.9019258,1
25.011114,24.998049,-0.7042341,0.39664868,29.0,1782510557.9019258,1
25.026045,25.0193,-0.46123347,0.35327604,32.0,1782510557.9019258,1
25.016037,25.001862,-0.46527892,0.70184064,17.0,1782510557.9019258,1
25.026045,25.017538,-0.54856426,0.35327604,17.0,1782510557.9019258,1
25.021034,25.00508,-0.55265874,0.7019811,20.0,1782510557.9019258,1
25.021044,25.010473,-0.6357619,0.35320532,36.0,1782510557.9019258,1
25.006035,24.988008,-0.63955736,0.7015597,20.0,1782510557.9019258,1
25.030943,25.019333,-0.38367963,0.65865374,35.0,1782510557.9019258,1
25.02095,25.014767,-0.46221882,0.30960214,32.0,1782510557.9019258,1
25.020952,25.013,-0.5495338,0.30960214,36.0,1782510557.9019258,1
25.035944,25.025936,-0.3500717,0.6151664,41.0,1782510557.9019258,1
25.025944,25.012888,-0.5245647,0.6149204,25.0,1782510557.9019258,1
25.041042,25.03199,-0.3555955,0.5716598,46.0,1782510557.9019258,1
25.041042,25.030598,-0.4429713,0.5716598,34.0,1782510557.9019258,1
25.036041,25.023901,-0.53023523,0.57154554,36.0,1782510557.9019258,1
25.04104,25.024584,-0.705062,0.5716598,38.0,1782510557.9019258,1
25.036106,25.027744,-0.3740819,0.52792287,75.0,1782510557.9019258,1
25.031105,25.019524,-0.548688,0.52781725,34.0,1782510557.9019258,1
25.03614,25.028578,-0.3795359,0.4842986,39.0,1782510557.9019258,1
25.02614,25.015324,-0.5540361,0.48410487,36.0,1782510558.0055606,2
25.031137,25.018232,-0.64148074,0.4842017,38.0,1782510558.0055606,2
25.02614,25.012493,-0.69919866,0.44049656,36.0,1782510558.0055606,2
25.03611,25.030436,-0.35549158,0.39704573,77.0,1782510558.0055606,2
25.02611,25.015347,-0.6173394,0.39688691,38.0,1782510558.0055606,2
25.016111,25.003044,-0.7043745,0.39672807,30.0,1782510558.0055606,2
25.036045,25.030758,-0.3740453,0.3534174,33.0,1782510558.0055606,2
25.021046,25.01254,-0.54845524,0.35320532,33.0,1782510558.0055606,2
25.011036,24.993006,-0.63968474,0.7017002,17.0,1782510558.0055606,2
25.020952,25.016228,-0.37489814,0.30960214,35.0,1782510558.0055606,2
25.045944,25.034328,-0.38390735,0.65904903,33.0,1782510558.0055606,2
25.035944,25.02284,-0.4711044,0.6587855,33.0,1782510558.0055606,2
25.015953,25.008003,-0.54942477,0.30954018,33.0,1782510558.0055606,2
25.035944,25.021044,-0.55844754,0.6587855,33.0,1782510558.0055606,2
25.015955,25.005934,-0.63671565,0.30954018,38.0,1782510558.0055606,2
25.035944,25.01894,-0.6457839,0.6587855,37.0,1782510558.0055606,2
25.030945,25.017885,-0.52467024,0.6150434,25.0,1782510558.0055606,2
25.036041,25.02699,-0.35552394,0.57154554,46.0,1782510558.0055606,2
25.016039,24.9996,-0.70435536,0.5710883,39.0,1782510558.0055606,2
25.03114,25.024815,-0.34997135,0.4405847,43.0,1782510558.110313,3
25.026138,25.01478,-0.6118845,0.44049656,34.0,1782510558.110313,3
25.016142,25.002499,-0.6989195,0.44032028,36.0,1782510558.110313,3
25.026047,25.02076,-0.37389696,0.35327604,34.0,1782510558.110313,3
25.016037,25.003332,-0.37800333,0.70184064,17.0,1782510558.110313,3
25.026035,25.007996,-0.6400668,0.7021216,20.0,1782510558.110313,3
25.035954,25.031227,-0.3751207,0.30978802,35.0,1782510558.110313,3
25.040945,25.026041,-0.55855834,0.65891725,36.0,1782510558.110313,3
25.02095,25.01093,-0.63684213,0.30960214,38.0,1782510558.110313,3
25.035944,25.020899,-0.6121187,0.6151664,27.0,1782510558.110313,3
25.020945,25.00362,-0.6990329,0.6147973,16.0,1782510558.110313,3
25.041107,25.031284,-0.4615352,0.5280284,36.0,1782510558.110313,3
25.036142,25.02532,-0.5542577,0.4842986,39.0,1782510558.2092288,4
25.036139,25.024775,-0.6121288,0.44067284,38.0,1782510558.2092288,4
25.04111,25.03404,-0.44295007,0.39712512,32.0,1782510558.2092288,4
25.031109,25.018034,-0.7047959,0.3969663,13.0,1782510558.2092288,4
25.026045,25.01547,-0.63588846,0.35327604,37.0,1782510558.2092288,4
25.025942,25.014336,-0.38360375,0.658522,86.0,1782510558.2092288,4
25.040943,25.027838,-0.47119778,0.65891725,33.0,1782510558.2092288,4
25.040941,25.023937,-0.6459122,0.65891725,39.0,1782510558.2092288,4
25.030945,25.020939,-0.35000104,0.6150434,43.0,1782510558.2092288,4
25.025946,25.014568,-0.43725023,0.6149204,27.0,1782510558.2092288,4
25.035944,25.01861,-0.69945425,0.6151664,18.0,1782510558.2092288,4
25.03104,25.0206,-0.4427933,0.5714312,34.0,1782510558.2092288,4
25.031042,25.018902,-0.5301288,0.5714312,36.0,1782510558.2092288,4
25.03104,25.0169,-0.6174578,0.5714312,35.0,1782510558.2092288,4
25.031105,25.021288,-0.46135023,0.52781725,34.0,1782510558.2092288,4
25.026108,25.01246,-0.63589185,0.5277117,39.0,1782510558.2092288,4
25.046139,25.03981,-0.35018077,0.4408491,45.0,1782510558.300614,5
25.046108,25.040432,-0.3556329,0.39720455,74.0,1782510558.300614,5
25.021036,25.002998,-0.6399394,0.7019811,20.0,1782510558.300614,5
25.025953,25.019766,-0.46231046,0.3096641,33.0,1782510558.300614,5
25.025944,25.012846,-0.47091773,0.658522,35.0,1782510558.300614,5
25.030952,25.022997,-0.54975194,0.30972606,36.0,1782510558.300614,5
25.030943,25.016045,-0.55833673,0.65865374,36.0,1782510558.300614,5
25.015945,25.000912,-0.61162674,0.6146743,28.0,1782510558.300614,5
25.021038,25.006903,-0.61721003,0.5712026,35.0,1782510558.300614,5
25.02614,25.018581,-0.3793841,0.48410487,39.0,1782510558.300614,5
25.02614,25.017105,-0.46671298,0.48410487,39.0,1782510558.4101634,6
25.02114,25.008238,-0.6412242,0.48400798,38.0,1782510558.4101634,6
25.026112,25.01304,-0.70465547,0.39688691,13.0,1782510558.4101634,6
25.016047,25.010761,-0.37374863,0.35313466,33.0,1782510558.4101634,6
25.011036,24.995087,-0.5524389,0.7017002,20.0,1782510558.4101634,6
25.030943,25.017841,-0.47101107,0.65865374,33.0,1782510558.4101634,6
25.045944,25.031038,-0.55866915,0.65904903,33.0,1782510558.4101634,6
25.026138,25.018442,-0.43723488,0.44049656,37.0,1782510558.4989076,7
25.03614,25.022488,-0.6994778,0.44067284,37.0,1782510558.4989076,7
25.03611,25.023033,-0.7049364,0.39704573,30.0,1782510558.4989076,7
25.046045,25.040754,-0.37419364,0.35355878,34.0,1782510558.4989076,7
25.015955,25.01123,-0.37482402,0.30954018,35.0,1782510558.4989076,7
