range,x,y,z,intensity,ring,time,timestamp
24.992002,24.987686,0.3619971,0.29093397,60.0,22,-0.024570499,1782503087.0351417
24.991999,24.988794,0.27478874,0.29093397,60.0,22,-0.024524534,1782503087.0351417
24.991999,24.989534,0.196264,0.29093397,59.0,22,-0.02446924,1782503087.0351417
24.996,24.989443,0.3707491,0.43624035,73.0,23,-0.02380159,1782503087.0351417
24.992002,24.986588,0.28348923,0.43617055,73.0,23,-0.023746293,1782503087.0351417
24.988,24.98339,0.20059012,0.43610072,77.0,23,-0.023690997,1782503087.0351417
24.992,24.988697,0.37946665,0.14525135,33.0,21,-0.022265602,1782503087.0351417
24.996002,24.99387,0.2922843,0.1452746,34.0,21,-0.022210306,1782503087.0351417
25.000002,24.99874,0.20507063,0.14529786,35.0,21,-0.02215501,1782503087.0351417
24.991999,24.98665,0.42742154,0.29093397,60.0,22,-0.024808612,1782503087.134092
24.991999,24.988049,0.3358315,0.29093397,59.0,22,-0.024753315,1782503087.134092
24.996,24.993069,0.2486618,0.29098052,59.0,22,-0.024698019,1782503087.134092
24.996,24.993757,0.1657736,0.29098052,59.0,22,-0.024642723,1782503087.134092
24.988003,24.980541,0.4273191,0.43610072,70.0,23,-0.024022501,1782503087.134092
24.996,24.989758,0.3489547,0.43624035,73.0,23,-0.023967205,1782503087.134092
24.984001,24.978827,0.26158983,0.43603092,73.0,23,-0.023911908,1782503087.134092
24.988,24.983587,0.17442906,0.43610072,70.0,23,-0.02386046,1782503087.134092
25.004004,25.00102,0.35783166,0.1453211,34.0,21,-0.022436736,1782503087.134092
24.996,24.994162,0.26611078,0.1452746,33.0,21,-0.02238144,1782503087.134092
24.996002,24.994907,0.18322562,0.1452746,32.0,21,-0.022326143,1782503087.134092
24.987999,24.983358,0.38375202,0.2908874,58.0,22,-0.02498189,1782503087.23379
24.988,24.984547,0.2965347,0.2908874,58.0,22,-0.024926594,1782503087.23379
24.984,24.98143,0.20930454,0.29084083,58.0,22,-0.024871297,1782503087.23379
24.992,24.98518,0.3881437,0.43617055,73.0,23,-0.024206033,1782503087.23379
24.996,24.990381,0.3009683,0.43624035,73.0,23,-0.024150737,1782503087.23379
24.992002,24.987244,0.21805371,0.43617055,77.0,23,-0.02409544,1782503087.23379
25.000004,24.996428,0.39703906,0.14529786,34.0,21,-0.022659793,1782503087.23379
24.996,24.993605,0.31409538,0.1452746,100.0,21,-0.022604497,1782503087.23379
24.992002,24.99059,0.22245172,0.14525135,33.0,21,-0.022557817,1782503087.23379
24.988003,24.987215,0.1351953,0.1452281,100.0,21,-0.022502521,1782503087.23379
24.992,24.986944,0.40997848,0.29093397,59.0,22,-0.02516278,1782503087.3342946
24.995998,24.99222,0.32280016,0.29098052,58.0,22,-0.025107486,1782503087.3342946
24.991999,24.989195,0.23553847,0.29093397,59.0,22,-0.02505219,1782503087.3342946
24.987999,24.985867,0.14827824,0.2908874,59.0,22,-0.024996893,1782503087.3342946
24.992002,24.984688,0.41866663,0.43617055,70.0,23,-0.024389785,1782503087.3342946
24.984001,24.978056,0.3269793,0.43603092,70.0,23,-0.024334488,1782503087.3342946
24.988,24.983044,0.23983121,0.43610072,70.0,23,-0.024279192,1782503087.3342946
24.992002,24.98773,0.15264054,0.43617055,73.0,23,-0.024223896,1782503087.3342946
24.995998,24.99192,0.4275092,0.1452746,33.0,21,-0.022883361,1782503087.3342946
24.992002,24.989323,0.3358527,0.14525135,100.0,21,-0.022828065,1782503087.3342946
25.000002,24.998299,0.25306422,0.14529786,100.0,21,-0.02277277,1782503087.3342946
24.996002,24.99503,0.1657759,0.1452746,34.0,21,-0.022717474,1782503087.3342946
24.992,24.987556,0.37073082,0.29093397,59.0,22,-0.025368214,1782503087.4344552
24.995998,24.992697,0.28354436,0.29098052,59.0,22,-0.025312917,1782503087.4344552
24.995998,24.993534,0.19629541,0.29098052,58.0,22,-0.025257621,1782503087.4344552
25.000002,24.99338,0.3751823,0.43631017,73.0,23,-0.024595454,1782503087.4344552
24.996,24.990534,0.2878841,0.43624035,73.0,23,-0.024540668,1782503087.4344552
24.992002,24.98739,0.20062223,0.43617055,73.0,23,-0.024485374,1782503087.4344552
24.996,24.99263,0.38388938,0.1452746,100.0,21,-0.023078814,1782503087.4344552
24.996002,24.993818,0.29664668,0.1452746,100.0,21,-0.023023518,1782503087.4344552
25.000004,24.998703,0.20943342,0.14529786,33.0,21,-0.022968221,1782503087.4344552
24.988,24.983992,0.3401498,0.2908874,59.0,22,-0.025509782,1782503087.5340407
24.991999,24.988981,0.25733227,0.29093397,61.0,22,-0.025454488,1782503087.5340407
24.991999,24.989697,0.17446963,0.29093397,59.0,22,-0.025399191,1782503087.5340407
24.996,24.989697,0.35331604,0.43624035,73.0,23,-0.024730587,1782503087.5340407
24.992002,24.98687,0.2573248,0.43617055,73.0,23,-0.024675291,1782503087.5340407
25.000002,24.995554,0.17886321,0.43631017,73.0,23,-0.024619995,1782503087.5340407
24.996,24.992954,0.36207914,0.1452746,36.0,21,-0.02321323,1782503087.5340407
24.991999,24.990067,0.27479127,0.14525135,34.0,21,-0.023157934,1782503087.5340407
25.000002,24.998875,0.18761793,0.14529786,33.0,21,-0.02310264,1782503087.5340407
24.996,24.99199,0.3402587,0.29098052,59.0,22,-0.025667803,1782503087.6348484
24.987997,24.985025,0.2529308,0.2908874,60.0,22,-0.025612507,1782503087.6348484
24.992002,24.986778,0.26603445,0.43617055,77.0,23,-0.024853816,1782503087.6348484
24.996,24.991552,0.17883459,0.43624035,73.0,23,-0.02479852,1782503087.6348484
24.988,24.986067,0.27474728,0.1452281,34.0,21,-0.023307577,1782503087.6348484
24.992,24.9868,0.41869992,0.29093397,60.0,22,-0.025911603,1782503087.7351918
24.996,24.992107,0.3315355,0.29098052,59.0,22,-0.025845135,1782503087.7351918
24.992,24.989155,0.23988773,0.29093397,61.0,22,-0.02578984,1782503087.7351918
24.988,24.985815,0.1569873,0.2908874,59.0,22,-0.025734544,1782503087.7351918
24.988,24.98194,0.33576348,0.43610072,70.0,23,-0.025066417,1782503087.7351918
24.984001,24.97896,0.2485117,0.43603092,70.0,23,-0.02501112,1782503087.7351918
24.992,24.987644,0.16572325,0.43617055,73.0,23,-0.024955824,1782503087.7351918
25.000004,24.997084,0.3534116,0.14529786,100.0,21,-0.023550456,1782503087.7351918
25.000002,24.998255,0.25742722,0.14529786,33.0,21,-0.02349516,1782503087.7351918
24.996,24.994999,0.17013818,0.1452746,33.0,21,-0.023439866,1782503087.7351918
24.988,24.983225,0.39247242,0.2908874,57.0,22,-0.026052935,1782503087.8354683
24.992,24.988495,0.30095527,0.29093397,58.0,22,-0.025997639,1782503087.8354683
24.991999,24.989391,0.21372083,0.29093397,58.0,22,-0.025942342,1782503087.8354683
25.000002,24.99318,0.38826793,0.43631017,73.0,23,-0.025280414,1782503087.8354683
24.991999,24.986275,0.30965343,0.43617055,73.0,23,-0.025225118,1782503087.8354683
24.992002,24.987282,0.21370472,0.43617055,77.0,23,-0.025171047,1782503087.8354683
24.992002,24.98783,0.13520873,0.43617055,66.0,23,-0.025115753,1782503087.8354683
24.996,24.992355,0.40133733,0.1452746,34.0,21,-0.023757337,1782503087.8354683
25.0,24.998508,0.23124892,0.14529786,35.0,21,-0.023646744,1782503087.8354683
25.000004,24.999166,0.14398676,0.14529786,33.0,21,-0.023591448,1782503087.8354683
24.995996,24.990648,0.42748997,0.29098052,60.0,22,-0.026266728,1782503087.9349651
24.988,24.981821,0.34447134,0.43610072,70.0,23,-0.025439866,1782503087.9349651
24.992002,24.986826,0.26167357,0.43617055,73.0,23,-0.02538457,1782503087.9349651
24.992,24.987616,0.17009607,0.43617055,70.0,23,-0.025329273,1782503087.9349651
24.992002,24.98902,0.3576599,0.14525135,33.0,21,-0.023912461,1782503087.9349651
24.988003,24.986116,0.2703864,0.1452281,100.0,21,-0.023848377,1782503087.9349651
24.992002,24.99094,0.1788347,0.14525135,34.0,21,-0.02379308,1782503087.9349651
25.000002,24.995558,0.37084952,0.2910271,60.0,22,-0.026456458,1782503088.034609
25.000002,24.996698,0.28358978,0.2910271,60.0,22,-0.026401162,1782503088.034609
24.987997,24.985535,0.19623259,0.2908874,57.0,22,-0.026345866,1782503088.034609
24.992002,24.98538,0.37506223,0.43617055,70.0,23,-0.02569276,1782503088.034609
24.991999,24.986536,0.28783804,0.43617055,73.0,23,-0.025637463,1782503088.034609
25.000002,24.996632,0.38395086,0.14529786,34.0,21,-0.024156295,1782503088.034609
24.992,24.990702,0.2093664,0.14525135,33.0,21,-0.024045704,1782503088.034609
24.987999,24.983086,0.40118074,0.2908874,58.0,22,-0.026654005,1782503088.1346462
24.987999,24.984333,0.31398836,0.2908874,57.0,22,-0.026598709,1782503088.1346462
24.988,24.985277,0.22676808,0.2908874,58.0,22,-0.026543412,1782503088.1346462
24.991999,24.989916,0.13957924,0.29093397,58.0,22,-0.026488865,1782503088.1346462
24.992002,24.984903,0.4055854,0.43617055,73.0,23,-0.025876,1782503088.1346462
24.996,24.990164,0.31841373,0.43624035,73.0,23,-0.025830036,1782503088.1346462
24.980003,24.97513,0.23103705,0.43596113,70.0,23,-0.025774742,1782503088.1346462
24.992002,24.987757,0.1482915,0.43617055,70.0,23,-0.025719445,1782503088.1346462
25.004002,25.000141,0.4145562,0.1453211,34.0,21,-0.024339095,1782503088.1346462
24.996,24.993378,0.33154416,0.1452746,34.0,21,-0.024283798,1782503088.1346462
