calculated_range,x,y,z,intensity,ring,time,timestamp,cloud_index
24.987997,24.980263,0.5494404,0.2908874,52.0,22,-0.07749307,1782501559.6092422,0
25.000002,24.99403,0.46245492,0.2910271,100.0,22,-0.07743777,1782501559.6092422,0
25.000002,24.995493,0.3752,0.2910271,100.0,22,-0.07738248,1782501559.6092422,0
24.991999,24.988647,0.2878721,0.29093397,100.0,22,-0.077327184,1782501559.6092422,0
25.000002,24.997467,0.20506391,0.2910271,100.0,22,-0.077271886,1782501559.6092422,0
25.008001,24.998049,0.5541984,0.4364498,70.0,23,-0.07672389,1782501559.6092422,0
25.000004,24.991837,0.46677953,0.43631017,56.0,23,-0.07666859,1782501559.6092422,0
25.000002,24.993313,0.37954417,0.43631017,59.0,23,-0.0766133,1782501559.6092422,0
24.992002,24.986486,0.29219866,0.43617055,56.0,23,-0.076558,1782501559.6092422,0
24.992002,24.987356,0.20497118,0.43617055,59.0,23,-0.0765027,1782501559.6092422,0
25.008001,25.00124,0.562992,0.14534435,93.0,21,-0.07517312,1782501559.6092422,0
25.008001,25.00297,0.48008147,0.14534435,96.0,21,-0.07511783,1782501559.6092422,0
25.012001,25.00856,0.38849983,0.1453676,100.0,21,-0.07506253,1782501559.6092422,0
25.012001,25.009766,0.30120128,0.1453676,100.0,21,-0.07500723,1782501559.6092422,0
25.012003,25.010628,0.21826467,0.1453676,96.0,21,-0.07494172,1782501559.6092422,0
24.991999,24.9857,0.47976112,0.29093397,52.0,22,-0.07769851,1782501559.708396,1
25.000002,24.995224,0.39266095,0.2910271,100.0,22,-0.07765254,1782501559.708396,1
25.000002,24.99644,0.30540228,0.2910271,100.0,22,-0.077597246,1782501559.708396,1
24.996,24.993317,0.22249071,0.29098052,100.0,22,-0.07754195,1782501559.708396,1
25.000002,24.989561,0.5758157,0.43631017,70.0,23,-0.076975115,1782501559.708396,1
24.988,24.980974,0.4011608,0.43610072,59.0,23,-0.07686452,1782501559.708396,1
24.995998,24.990273,0.30970296,0.43624035,63.0,23,-0.07680923,1782501559.708396,1
24.992002,24.987167,0.22678725,0.43617055,59.0,23,-0.07675393,1782501559.708396,1
25.012001,25.004738,0.58490276,0.1453676,93.0,21,-0.07536021,1782501559.708396,1
25.012001,25.006628,0.49761653,0.1453676,100.0,21,-0.07530492,1782501559.708396,1
25.008001,25.00414,0.41462252,0.14534435,96.0,21,-0.07524962,1782501559.708396,1
25.000002,24.997494,0.32287145,0.14529786,93.0,21,-0.07519432,1782501559.708396,1
25.008003,25.00647,0.2356873,0.14534435,100.0,21,-0.07513902,1782501559.708396,1
24.988,24.981361,0.49711195,0.2908874,52.0,22,-0.07788058,1782501559.8075843,2
25.000002,24.994871,0.41447178,0.2910271,100.0,22,-0.07782529,1782501559.8075843,2
25.000002,24.996166,0.32722616,0.2910271,100.0,22,-0.077769995,1782501559.8075843,2
24.988,24.985197,0.23550077,0.2908874,100.0,22,-0.0777147,1782501559.8075843,2
25.004002,24.995157,0.5017643,0.43637997,59.0,23,-0.07708709,1782501559.8075843,2
24.996,24.988758,0.41437253,0.43624035,59.0,23,-0.07703179,1782501559.8075843,2
24.984001,24.977999,0.33133855,0.43603092,63.0,23,-0.07697649,1782501559.8075843,2
24.988,24.983044,0.23983121,0.43610072,59.0,23,-0.076920755,1782501559.8075843,2
25.016003,25.010275,0.5151565,0.14539084,100.0,21,-0.075572826,1782501559.8075843,2
25.012001,25.00792,0.42778286,0.1453676,93.0,21,-0.075517535,1782501559.8075843,2
25.008001,25.005262,0.34043193,0.14534435,96.0,21,-0.07546224,1782501559.8075843,2
25.000002,24.998299,0.25306422,0.14529786,100.0,21,-0.07540694,1782501559.8075843,2
24.987999,24.981007,0.5145509,0.2908874,52.0,22,-0.0781187,1782501559.907323,3
25.000002,24.99465,0.4275584,0.2910271,100.0,22,-0.078063406,1782501559.907323,3
25.000002,24.99599,0.34031317,0.2910271,100.0,22,-0.07800811,1782501559.907323,3
25.000002,24.997026,0.25305226,0.2910271,100.0,22,-0.07795281,1782501559.907323,3
25.000002,24.990711,0.5234795,0.43631017,59.0,23,-0.07733902,1782501559.907323,3
25.000002,24.992388,0.43623582,0.43631017,63.0,23,-0.07728373,1782501559.907323,3
24.992002,24.98576,0.3488989,0.43617055,59.0,23,-0.077228434,1782501559.907323,3
24.992002,24.98687,0.2573248,0.43617055,59.0,23,-0.077173136,1782501559.907323,3
25.004002,24.997911,0.53236145,0.1453211,93.0,21,-0.075787544,1782501559.907323,3
25.008,25.003614,0.4451704,0.14534435,100.0,21,-0.075732246,1782501559.907323,3
25.008003,25.005081,0.35352468,0.14534435,96.0,21,-0.07567695,1782501559.907323,3
25.008003,25.006117,0.27060282,0.14534435,96.0,21,-0.07560619,1782501559.907323,3
24.987997,24.98064,0.5320016,0.2908874,52.0,22,-0.0783203,1782501560.0079567,4
24.995998,24.990345,0.44493523,0.29098052,100.0,22,-0.07827433,1782501560.0079567,4
24.988,24.98375,0.3575908,0.2908874,100.0,22,-0.07821904,1782501560.0079567,4
24.984,24.980844,0.2703291,0.29084083,100.0,22,-0.07816374,1782501560.0079567,4
25.004002,24.994526,0.5322876,0.43637997,70.0,23,-0.07756021,1782501560.0079567,4
25.004002,24.996233,0.44504243,0.43637997,59.0,23,-0.07750491,1782501560.0079567,4
25.000002,24.993572,0.36209646,0.43631017,59.0,23,-0.07744962,1782501560.0079567,4
24.988,24.982685,0.27471185,0.43610072,59.0,23,-0.07739432,1782501560.0079567,4
25.008001,25.001534,0.5499011,0.14534435,93.0,21,-0.075988464,1782501560.0079567,4
25.016003,25.0113,0.46277407,0.14539084,96.0,21,-0.075933166,1782501560.0079567,4
25.004002,25.000763,0.37528548,0.1453211,100.0,21,-0.07587787,1782501560.0079567,4
25.012001,25.00992,0.28810632,0.1453676,100.0,21,-0.07582257,1782501560.0079567,4
25.004002,25.002773,0.20073956,0.1453211,81.0,21,-0.07576728,1782501560.0079567,4
25.004002,24.998268,0.44944078,0.29107368,100.0,22,-0.07849859,1782501560.107781,5
24.996,24.991556,0.37079015,0.29098052,100.0,22,-0.07844329,1782501560.107781,5
24.996,24.992794,0.27483273,0.29098052,100.0,22,-0.07838799,1782501560.107781,5
24.987997,24.985535,0.19623259,0.2908874,100.0,22,-0.0783327,1782501560.107781,5
25.012001,25.002241,0.5455482,0.4365196,73.0,23,-0.07777564,1782501560.107781,5
25.004004,24.995996,0.45812953,0.43637997,59.0,23,-0.077720344,1782501560.107781,5
