cloud_index,point_count
0,15
1,14
2,14
3,13
4,15
5,15
6,15
7,11
8,13
9,10
10,10
11,12
12,10
13,11
14,4
15,9
16,15
17,8
18,11
19,10
20,6
21,6
22,11
23,12
24,14
25,11
26,13
27,9
28,6
29,7
30,9
31,8
32,6
33,6
34,9
35,6
36,6
37,3
38,9
39,10
40,6
41,9
42,6
43,8
44,7
45,4
46,9
47,6
48,11
49,4
50,10
51,2
52,11
53,8
54,10
55,3
56,5
57,3
58,5
59,7
60,11
61,4
62,9
63,8
64,3
65,6
66,3
67,4
68,7
69,3
70,3
71,5
72,4
73,7
74,1
75,6
76,3
77,2
78,7
79,6
80,8
81,3
82,7
83,8
84,3
85,5
86,4
87,2
88,2
89,6
90,7
91,1
92,6
93,4
94,5
95,1
96,1
97,2
98,3
99,1
100,5
101,3
103,4
104,4
105,4
106,1
107,3
108,2
109,1
110,1
111,3
113,1
114,5
116,2
117,7
118,2
119,3
120,1
121,5
122,4
123,4
124,3
125,3
126,3
127,4
128,3
129,3
131,2
132,2
133,3
134,4
135,6
136,2
137,3
138,4
139,4
140,1
141,5
142,3
143,3
144,3
145,2
146,5
148,1
149,2
151,4
152,2
153,2
154,4
155,2
156,1
157,1
158,5
159,1
160,5
161,2
162,8
163,3
164,3
165,2
166,1
167,4
168,3
170,4
171,2
172,2
173,6
174,1
175,3
176,2
177,2
178,1
179,2
180,4
181,3
182,1
183,3
184,3
186,2
187,3
188,3
189,2
190,2
191,1
192,4
193,3
194,2
196,1
197,2
198,1
199,2
200,1
205,2
206,2
207,1
208,2
210,1
211,5
212,2
213,2
215,2
217,1
218,3
219,1
220,1
221,2
223,2
224,2
225,1
226,4
227,1
228,1
229,2
232,1
233,1
234,1
235,1
236,2
237,2
238,2
240,1
241,1
242,2
243,3
244,1
245,1
249,2
250,2
251,1
252,2
253,3
254,3
256,1
258,1
259,2
260,2
261,1
265,2
267,2
269,3
270,2
271,1
273,1
274,1
277,1
278,3
279,1
280,1
281,1
283,2
284,2
287,2
289,1
290,1
291,1
292,3
293,2
296,1
